Frame,X,Y,Z
1,-400.000,0.000,-500.000
2,-370.850,0.000,-500.000
3,-292.730,0.000,-500.000
4,-179.630,0.000,-500.000
5,-45.542,0.000,-500.000
6,95.542,0.000,-500.000
7,229.630,0.000,-500.000
8,342.730,0.000,-500.000
9,420.850,0.000,-500.000
10,450.000,0.000,-500.000
